name,iso,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2014
Colombia,COL,58.0594862551,57.8234700315,57.5874628211,57.3514465976,57.1154393871,56.8794231636,56.6434069401,56.4073997296,56.1713835061,55.9353762956,
Comoros,COM,26.3299301451,26.1149919398,25.9000537346,25.6851155293,25.470177324,25.2552391188,25.0403009135,24.8253627082,24.610424503,24.3954862977,
"Congo, Dem. Rep.",ZAR,70.7364195761,70.599060453,70.4617013299,70.3243422068,70.1869830837,70.0496239607,69.9122648376,69.7749057145,69.6375465914,69.5001874683,
"Congo, Rep.",COG,66.5475841874,66.4978038067,66.4480234261,66.3982430454,66.3484626647,66.298682284,66.2489019034,66.1991215227,66.149341142,66.0995607613,
Costa Rica,CRI,50.2154328241,49.8472385429,49.4790442617,49.1108499804,48.7426556992,48.3744614179,48.0062671367,47.6380728555,47.2698785742,46.901684293,
Cote d'Ivoire,CIV,32.1446540881,32.1779874214,32.2113207547,32.2446540881,32.2779874214,32.3113207547,32.3446540881,32.3779874214,32.4113207547,32.4446540881,
Croatia,HRV,33.0888928635,,33.2140940798,33.2766946879,33.339295296,33.4018959041,33.4226509468,33.4851732762,33.5896977285,33.6522983366,
Cuba,CUB,19.1620111732,19.5130353818,19.8640595903,20.2150837989,20.5661080074,20.917132216,21.2681564246,21.6191806331,21.9702048417,22.3212290503,
Curacao,CUW,,,,,,,,,,,
Cyprus,CYP,17.4361471861,17.5497835498,17.6634199134,17.7770562771,17.8906926407,18.0043290043,18.117965368,18.2316017316,18.3452380952,18.4588744589,
Czech Republic,CZE,34.0235537725,,,34.0546136922,34.0649669988,34.0753203054,34.085673612,34.0960269186,34.1063802252,34.1167335318,
Denmark,DNK,12.8143430054,12.9141306912,13.0016497761,13.1013433891,13.2010370021,13.3007306151,13.4004242281,13.5001178412,13.5998114542,13.6995050672,
Djibouti,DJI,0.241587575496,0.241587575496,0.241587575496,0.241587575496,0.241587575496,0.241587575496,0.241587575496,0.241587575496,0.241587575496,0.241587575496,
Dominica,DMA,66.6666666667,66.3066666667,65.96,65.6,65.24,64.88,64.5333333333,64.1733333333,63.8133333333,63.4666666667,
Dominican Republic,DOM,22.8683774834,23.6568708609,24.4453642384,25.2338576159,26.0223509934,26.8108443709,27.5993377483,28.3878311258,29.1763245033,29.9648178808,
Ecuador,ECU,52.849479844,52.5236598757,52.1978760295,51.8720921832,51.546272215,51.2204883687,50.8947045225,50.5689206762,56.0045901111,55.6414478982,
"Egypt, Arab Rep.",EGY,0.0442011150736,0.0457079712693,0.047214827465,0.0487216836607,0.0502285398563,0.051735396052,0.0532422522477,0.0547491084434,0.0562559646391,0.0577628208348,
El Salvador,SLV,18.194980695,17.9777992278,17.7606177606,17.5434362934,17.3262548263,17.1090733591,16.8918918919,16.6747104247,16.4575289575,16.2403474903,
Equatorial Guinea,GNQ,66.3101604278,65.8930481283,65.4759358289,65.0588235294,64.6417112299,64.2245989305,63.807486631,63.3903743316,62.9732620321,62.5561497326,
Eritrea,ERI,16.0495049505,,,15.9158415842,15.8712871287,15.8267326733,15.7821782178,15.7376237624,15.6930693069,15.6485148515,
Estonia,EST,49.3040811512,,52.2151450814,52.3024298184,52.3897145553,52.4769992923,52.5642840293,52.6515687662,52.7388535032,52.8261382402,
Ethiopia,ETH,15.199818347,15.0677565849,14.9356948229,14.6913,14.5504,14.4095,14.2686,14.1277,13.9868,13.8459,
Faeroe Islands,FRO,0.0573065902579,0.0573065902579,0.0573065902579,0.0573065902579,0.0573065902579,0.0573065902579,0.0573065902579,0.0573065902579,0.0573065902579,0.0573065902579,
Fiji,FJI,52.1565407772,52.3070607553,52.4581280788,52.6086480569,52.7597153804,52.9102353585,53.0607553366,53.2118226601,53.3623426382,53.5134099617,
Finland,FIN,71.817853508,72.0049903148,72.1921271217,72.3792639286,72.5664007354,72.7535375423,72.9406743491,73.127811156,73.3149479628,73.5020847697,
French Polynesia,PYF,15.0273224044,16.393442623,17.7595628415,19.1256830601,20.4918032787,21.8579234973,23.2240437158,24.5901639344,25.956284153,27.3224043716,
Gabon,GAB,85.3805254783,85.3805254783,85.3805254783,85.3805254783,85.3805254783,85.3805254783,85.3805254783,85.3805254783,85.3805254783,85.3805254783,
"Gambia, The",GMB,43.6758893281,43.8636363636,44.0513833992,44.2391304348,44.4268774704,44.6146245059,44.8023715415,44.9901185771,45.1778656126,45.3656126482,
Georgia,GEO,39.9913656641,,39.6310260469,39.6429702115,39.6549143762,39.6668585408,39.6788027054,39.6907468701,39.7026910347,39.7146351993,
Ghana,GHA,37.9142128856,38.038147139,38.1620813923,38.2860156456,38.4099498989,38.5338841522,38.6578184056,38.7817526589,38.9056869122,39.0296211655,
Greece,GRC,25.5934833204,25.8277734678,26.0620636152,26.2963537626,26.53064391,26.7649340574,26.9992242048,27.2335143522,27.4678044996,27.702094647,
Greenland,GRL,0.000643839625402,0.000643839625402,0.000643839625402,0.000643839625402,0.000643839625402,0.000643839625402,0.000643839625402,0.00053599707638,0.00053599707638,0.00053599707638,
Grenada,GRD,49.9705882353,49.9705882353,49.9705882353,49.9705882353,49.9705882353,49.9705882353,49.9705882353,49.9705882353,49.9705882353,49.9705882353,
Guam,GUM,46.2962962963,46.2962962963,46.2962962963,46.2962962963,46.2962962963,46.2962962963,46.2962962963,46.2962962963,46.2962962963,46.2962962963,
Guatemala,GTM,44.3075774543,43.8036580814,43.2997387085,42.7958193356,42.2918999627,41.7879805898,41.2840612169,40.780141844,40.2762224711,39.7723030982,
Guinea,GIN,29.5621032069,29.4155949862,29.2690867654,29.1225785447,28.9760703239,28.8295621032,28.6830538825,28.5365456617,28.390037441,28.2435292203,
Guinea-Bissau,GNB,78.8051209104,78.4637268848,78.1223328592,77.7809388336,77.439544808,77.0981507824,76.7567567568,76.4153627312,76.0739687055,75.7325746799,
Guyana,GUY,84.6329692659,84.6136652273,84.5943611887,84.5750571501,84.5557531115,84.5364490729,84.5171450343,84.4978409957,84.4785369571,84.4592329185,
Haiti,HTI,4.20899854862,4.18359941945,4.15820029028,4.1328011611,4.10740203193,4.08200290276,4.05660377358,4.03120464441,4.00580551524,3.98040638607,
Honduras,HND,72.7142729466,71.1555992493,69.5969255519,68.0382518545,66.4795781571,64.9209044597,63.3622307624,61.803557065,60.2448833676,58.6862096702,
"Hong Kong SAR, China",HKG,,,,,,,,,,,
Hungary,HUN,20.0400578614,20.1691331924,20.2982085234,20.4295570888,20.5586467839,20.687736479,20.816826174,20.9599109131,21.0890868597,21.2182628062,
Iceland,ISL,0.160598503741,0.173266832918,0.185935162095,0.198603491272,0.211271820449,0.223940149626,0.236608478803,0.24927680798,0.261945137157,0.274613466334,
"Iran, Islamic Rep.",IRN,5.57309262841,5.58841914587,5.60374566332,5.61907218077,5.63439869823,5.64972521568,5.66505173314,5.68037825059,5.69570476805,5.7110312855,
Iraq,IRQ,1.83826051169,1.84146146283,1.84466241397,1.84786336511,1.85106431625,1.85426526739,1.85746621853,1.86066716967,1.86386812081,1.86706907195,
Ireland,IRL,6.74989113079,6.99666134417,7.24328639861,7.49005661199,7.73668166642,7.98345187981,8.23007693424,8.47684714763,8.72347220206,8.97024241544,
Isle of Man,IMY,6.0701754386,6.0701754386,6.0701754386,6.0701754386,6.0701754386,6.0701754386,6.0701754386,6.0701754386,6.0701754386,6.0701754386,
Israel,ISR,6.09981515712,6.19685767098,6.29390018484,6.39094269871,6.48798521257,6.58502772643,6.6820702403,6.77911275416,6.87615526802,6.97319778189,
Jamaica,JAM,31.8190212373,31.784856879,31.7506925208,31.7165281625,31.6823638042,31.648199446,31.6140350877,31.5798707295,31.5457063712,31.5115420129,
Jordan,JOR,1.10494106981,1.10494106981,1.10494106981,1.10494106981,1.10494106981,1.10494106981,1.10494106981,1.10494106981,1.10494106981,1.10494106981,
Kazakhstan,KAZ,1.2675482461,,1.26332555469,1.26121420899,1.25910286328,1.25699151758,1.25488017187,1.25276882617,1.25065748046,1.24854613476,
Kenya,KEN,8.3002424711,8.09519626103,7.89015005095,7.68510384088,7.48005763081,7.27501142074,7.06996521067,6.8649190006,6.65987279053,6.45482658045,
Kiribati,KIR,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,
"Korea, Dem. Rep.",PRK,68.1089610497,67.0558923677,66.0028236857,64.9497550037,63.8966863217,62.8436176397,61.7905489577,60.7374802757,59.6844115937,58.6313429117,
Kosovo,KSV,,,,,,,,,,,
Kuwait,KWT,0.193602693603,0.201459034792,0.209315375982,0.217171717172,0.225028058361,0.232884399551,0.240740740741,0.24859708193,0.25645342312,0.26430976431,
Kyrgyz Republic,KGZ,4.35870698644,,4.38362877998,4.39504692388,4.40646506778,4.41788321168,4.42930135558,4.44071949948,4.45213764338,4.46355578728,
Lao PDR,LAO,76.4510398614,75.9662478336,75.4814558059,74.9966637782,74.5118717504,74.0270797227,73.5422443674,73.0574523397,72.572660312,72.0878682842,
Latvia,LVA,51.0161425172,,51.2348060969,51.3441378867,51.4534696765,51.5628014663,51.6721332562,51.781465046,51.8907968358,52.0001286256,
Lebanon,LBN,12.8054740958,12.8054740958,12.8054740958,12.8054740958,12.8054740958,12.8054740958,12.8054740958,12.8054740958,12.8054740958,12.8054740958,
Lesotho,LSO,1.31752305665,1.32411067194,1.33069828722,1.3372859025,1.34387351779,1.35046113307,1.35704874835,1.36363636364,1.37022397892,1.3768115942,
Liberia,LBR,51.1731727575,50.8617109635,50.5502491694,50.2387873754,49.9273255814,49.6158637874,49.3044019934,48.9929401993,48.6814784053,48.3700166113,
Libya,LBY,0.123327687918,0.123327687918,0.123327687918,0.123327687918,0.123327687918,0.123327687918,0.123327687918,0.123327687918,0.123327687918,0.123327687918,
Liechtenstein,LIE,40.625,40.875,41.125,41.375,41.625,41.875,42.125,42.375,42.625,42.875,
Lithuania,LTU,31.0306317805,,31.2699425654,31.3895979579,31.5092533504,31.6289087428,31.7485641353,31.8682195278,31.9878749202,32.1075303127,
Luxembourg,LUX,,,,,,,,,,,
"Macao SAR, China",MAC,,,,,,,,,,,
"Macedonia, FYR",MKD,35.8631537554,,36.2249311836,36.4058198978,36.5867086119,36.767597326,36.9484860401,37.1293747542,37.3102634683,37.4911521825,
Madagascar,MDG,23.5443821577,23.4293427795,23.3143034013,23.1992640231,23.0842246449,22.9691852667,22.8541458885,22.7391065103,22.6240671321,22.5090277539,
Malawi,MWI,41.3237165889,40.9747560458,40.6257955028,40.2768349597,39.9278744166,39.5789138736,39.2299533305,38.8809927874,38.5320322444,38.1830717013,
Malaysia,MYS,68.1053112159,67.8663825902,67.6274539644,67.3885253386,67.1495967128,66.910668087,66.6717394613,66.4328108355,66.1938822097,65.9549535839,
Maldives,MDV,3.33333333333,3.33333333333,3.33333333333,3.33333333333,3.33333333333,3.33333333333,3.33333333333,3.33333333333,3.33333333333,3.33333333333,
Mali,MLI,5.48275268606,5.41800867078,5.3532646555,5.28852064023,5.22377662495,5.15903260968,5.0942885944,5.02954457912,4.96480056385,4.90005654857,
Malta,MLT,1.09375,1.09375,1.09375,1.09375,1.09375,1.09375,1.09375,1.09375,1.09375,1.09375,
Marshall Islands,MHL,,70.2222222222,70.2222222222,70.2222222222,70.2222222222,70.2222222222,70.2222222222,70.2222222222,70.2222222222,70.2222222222,
Mauritania,MRT,0.402638983215,0.393130881925,0.383622780635,0.374114679344,0.364606578054,0.355098476763,0.345590375473,0.336082274183,0.326574172892,0.317066071602,
Mauritius,MUS,20.2463054187,20.2857142857,20.3251231527,20.3645320197,20.4039408867,20.4433497537,20.4827586207,20.5221674877,20.5615763547,20.6009852217,
"Micronesia, Fed. Sts.",FSM,,90.8714285714,90.9142857143,90.9571428571,90.9857142857,91.0285714286,91.0714285714,91.1,91.1428571429,91.1857142857,
Moldova,MDA,9.70489808336,,9.73532096136,9.72685887709,9.74499089253,9.76313392044,9.77831764349,9.7964763062,9.81464600425,9.83282674772,
Monaco,MCO,0.0,,,,,,,,,,
Mongolia,MNG,8.06920878498,8.0164911558,7.96377352661,7.91105589742,7.85833826824,7.80562063905,7.75290300986,7.70018538067,7.64746775149,7.5947501223,
Montenegro,MNE,40.3717472119,,,,,,,,,,
Morocco,MAR,11.1001568452,11.1088953619,11.1176338786,11.1263723952,11.1351109119,11.1438494286,11.1525879453,11.161326462,11.1700649787,11.1788034954,
Mozambique,MOZ,55.1616266945,54.8831353798,54.6046440652,54.3261527506,54.0476614359,53.7691701213,53.4906788067,53.2121874921,52.9336961774,52.6552048628,
Myanmar,MMR,60.0085687181,59.3429629403,58.6773571625,58.0117513848,57.346145607,56.6805398292,56.0149340515,55.3493282737,54.6837224959,54.0181167182,
Namibia,NAM,10.6426654034,10.5539967691,10.4653281347,10.3766595003,10.2879908659,10.1993222315,10.1106535972,10.0219849628,9.93331632839,9.84464769401,
Nepal,NPL,33.6853146853,33.0440559441,32.4027972028,31.7615384615,31.1202797203,30.479020979,29.8377622378,29.1965034965,28.5552447552,27.913986014,
New Caledonia,NCL,45.8971553611,45.8971553611,45.8971553611,45.8971553611,45.8971553611,45.8971553611,45.8971553611,45.8971553611,45.8971553611,45.8971553611,
New Zealand,NZL,36.6791994227,36.8618738369,37.0445482511,37.2272226653,37.4098970795,37.5925714937,37.7752459079,37.9579203221,38.1405947362,38.3232691504,
Nicaragua,NIC,37.5103872362,36.928702011,36.3470167858,35.7653315606,35.1836463354,34.6019611102,34.020275885,33.4385906598,32.8569054346,32.2752202094,
Niger,NER,1.53548590827,1.48677666377,1.43806741928,1.38935817478,1.34064893029,1.2919396858,1.2432304413,1.19452119681,1.14581195232,1.09710270782,
Nigeria,NGA,18.9224502344,18.4726110873,18.0227719402,17.5729327931,17.123093646,16.6732544989,16.2234153518,15.7735762047,15.3237370577,14.8738979106,
Northern Mariana Islands,MNP,,72.6956521739,72.347826087,72.0,71.6304347826,71.2826086957,70.9130434783,70.5652173913,70.1956521739,69.847826087,
Norway,NOR,33.2160604526,33.2108584649,33.2056564772,33.2004544895,33.1952525017,33.190050514,33.1848485263,33.1796465386,33.1744445509,33.1692425632,
Oman,OMN,0.0064620355412,0.0064620355412,0.0064620355412,0.0064620355412,0.0064620355412,0.0064620355412,0.0064620355412,0.0064620355412,0.0064620355412,0.0064620355412,
Pakistan,PAK,3.27807181403,3.22475612287,3.17144043171,3.11812474056,3.0648090494,3.01149335824,2.95817766708,2.90486197592,2.85154628477,2.79823059361,
Palau,PLW,,83.2608695652,83.5652173913,83.8695652174,84.1956521739,84.5,84.8043478261,85.1304347826,85.4347826087,85.7391304348,
Panama,PAN,67.7966101695,67.5638956147,67.33118106,67.0984665052,66.8657519505,66.6330373957,66.400322841,66.1676082863,65.9348937315,65.7021791768,
Papua New Guinea,PNG,74.2547365632,74.2487744557,74.2428123482,74.2368502407,74.2308881332,74.2249260257,74.2189639182,74.2130018107,74.2070397032,74.2010775957,
Paraguay,PRY,53.251950667,52.8016612132,52.3513717594,51.9010823056,51.4507928517,51.0005033979,50.5502139441,50.0999244903,49.6496350365,49.1993455827,
Peru,PER,60.87578125,60.7371875,60.59859375,60.46,60.32140625,60.1828125,60.04421875,59.905625,59.76703125,59.6284375,
Philippines,PHL,21.9841030285,22.1424019854,22.3007009424,22.4589998994,22.6172988564,22.7755978133,22.9338967703,23.0921957273,23.2504946842,23.4087936412,
Poland,POL,28.9953965196,29.0535113781,29.1116262366,29.169741095,29.2278559535,29.285970812,29.3440856704,29.4022005289,29.4603153874,29.5184302458,
Portugal,PRT,37.5519125683,37.450273224,37.3486338798,37.2469945355,37.1453551913,37.043715847,36.9420765027,36.8404371585,36.7387978142,36.6371584699,
Puerto Rico,PRI,32.3562570462,34.1950394589,36.0338218715,37.8726042841,39.7113866967,41.5501691094,43.3878241263,45.2266065389,47.0653889515,48.9041713641,
Qatar,QAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Romania,ROM,27.7785044692,27.7630088033,27.7608297743,27.7586507452,27.7504248181,27.750664517,27.7448588358,27.741471703,27.7320440786,27.7286585366,
Rwanda,RWA,12.8901499797,12.9955411431,13.1009323064,13.2063234698,13.3117146332,13.4171057965,13.5224969599,13.6278881232,13.7332792866,13.8386704499,
Samoa,WSM,45.9363957597,47.3851590106,48.8339222615,50.2826855124,51.7314487633,53.1802120141,54.628975265,56.0777385159,57.5265017668,58.9752650177,
San Marino,SMR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sao Tome and Principe,STP,58.3333333333,58.3333333333,58.3333333333,58.3333333333,58.3333333333,58.3333333333,58.3333333333,58.3333333333,58.3333333333,58.3333333333,
Senegal,SEN,48.5534721862,48.3197423778,48.0860125695,47.8522827611,47.6185529528,47.3848231444,47.1510933361,46.9173635278,46.6836337194,46.4499039111,
Serbia,SRB,26.4463754859,,,,,,,,,,
Seychelles,SYC,88.4130434783,88.4130434783,88.4130434783,88.4130434783,88.4130434783,88.4130434783,88.4130434783,88.4130434783,88.4130434783,88.4130434783,
Sierra Leone,SLE,43.1975616514,42.9260182876,42.6544749238,42.38293156,42.1113881962,41.8398448324,41.5683014686,41.2967581047,41.0252147409,40.7536713771,
Singapore,SGP,24.4029850746,24.4029850746,24.4029850746,24.4029850746,24.4029850746,24.4029850746,24.4029850746,24.4029850746,24.4029850746,24.4029850746,
Sint Maarten (Dutch part),SXM,,,,,,,,,,,
Slovak Republic,SVK,39.9584199584,,,39.9521829522,39.9501039501,39.948024948,39.9459459459,39.9438669439,39.9417879418,39.9397089397,
Slovenia,SVN,58.9870903674,,59.4339622642,59.6573982125,59.8808341609,60.1042701092,60.3277060576,60.551142006,60.7745779543,60.9980139027,
Solomon Islands,SLB,83.0296534477,82.8295819936,82.6295105395,82.4294390854,82.2293676313,82.0292961772,81.8292247231,81.629153269,81.4290818149,81.2290103608,
Somalia,SOM,13.2017725635,13.0795103134,12.9572480633,12.8349858131,12.712723563,12.5904613128,12.4681990627,12.3459368126,12.2236745624,12.1014123123,
South Africa,ZAF,7.61773652408,7.61773652408,7.61773652408,7.61773652408,7.61773652408,7.61773652408,7.61773652408,7.61773652408,7.61773652408,7.61773652408,
South Sudan,SSD,,,,,,,,,,,
Sri Lanka,LKA,36.4216233456,36.2749162813,36.128209217,35.9815021528,35.8347950885,35.6880880242,35.54138096,35.3946738957,35.2479668314,35.1012597672,
St. Kitts and Nevis,KNA,42.3076923077,42.3076923077,42.3076923077,42.3076923077,42.3076923077,42.3076923077,42.3076923077,42.3076923077,42.3076923077,42.3076923077,
St. Lucia,LCA,35.737704918,35.6393442623,35.5409836066,35.4426229508,35.3442622951,35.2459016393,35.1475409836,35.0491803279,34.9508196721,34.8524590164,
St. Martin (French part),MAF,,,,,,,,,,,
St. Vincent and the Grenadines,VCT,64.1025641026,64.358974359,64.6153846154,64.8717948718,65.1282051282,65.3846153846,65.641025641,65.8974358974,66.1538461538,66.4102564103,
